Model,Accuracy,Precision,Recall,F1 Score,Train Time
XGBoost,0.7790986515259049,0.8256367782570773,0.7790986515259049,0.7425330813453407,4.429686069488525
Decision Tree,0.7565649396735273,0.8102499570387456,0.7565649396735273,0.7170694529724849,0.8538100719451904
Random Forest,0.740374378992193,0.8082052452389173,0.740374378992193,0.700449210795348,2.418964147567749
LightGBM,0.7001863023420866,0.6210720997116786,0.7001863023420866,0.651292248517858,3.709343194961548
Logistic Regression,0.6219393186657204,0.4938254207482913,0.6219393186657204,0.5351661271592072,26.710154056549072
